Product,Unit_Price,Quantity,Total_Amount,Date
فرشاة بلاشر اشكال,30,1,30,20260424
فرشاة  مسكرة,5,1,5,20260424
حلق 3 قطع استانليس على كارت,125,1,125,20260424
ساندرا ليب جلوس شفاف,45,1,45,20260424
خاتم فري سايز,70,1,70,20260424
براية كحل,20,1,20,20260424
بلاشر دايموند 6 لون 1010,85,1,85,20260424
مناديل جيب مبللة,10,1,10,20260423
كير اند مور كريم مرطب  75 مل,40,1,40,20260423
فوطة ميكرو فايبر,60,1,60,20260423
ايفا بدي سبلاش 240 مل,200,1,200,20260423
الوفيرا جل صبار 250 مل,25,1,25,20260423
فلورمار روج خشب,30,1,30,20260423
ايفا بدي ميست جليتري 150 مل,200,1,200,20260423
سوب اند جلوري جلافز 1 قطعة,80,1,80,20260423
تاتو سحري,35,1,35,20260423
كيكو اكلادور 18 مل,30,1,30,20260423
XL  اسبراي 150 مل,120,1,120,20260423
طوق مموج اسود,25,2,50,20260423
منقار ستان منقوش,40,2,80,20260423
روز بيري مسكرة 5D,90,1,90,20260423
محفظة حريمي مستوردة,110,1,110,20260422
ميدالية نجمة البحر,65,1,65,20260422
مايت سينما مسكرة ووتر بروف ULTRA BLACK,85,1,85,20260422
قطعة حلق تكة استانليس,45,1,45,20260422
روز بيري كحل الوان ووتر بروف,65,2,130,20260422
مناديل اسيتون,25,1,25,20260422
المسواك معجون اسنان 120+ 20 جم,45,1,45,20260421
ليه كاريتييه بلسم 400 مل,120,1,120,20260421
خاتم اطفال,10,1,10,20260421
لونا شاور جل 2 لتر,185,1,185,20260421
لاميس برفان اماراتي بيور بلاك 100 مل,400,1,400,20260421
سجدة توكة ستان,25,2,50,20260421
فلورمار روج خشب,30,1,30,20260421
يارا مسك طهارة,45,1,45,20260421
كوكو صبغة شعر,105,1,105,20260421
بليلز ليب بالم فراولة,5,3,15,20260421
سيتواه لاصقة بثور انف (قطعة),25,1,25,20260421
شاور كاب ووتر بروف (كيس),25,1,25,20260421
كير اند مور اسيتون,55,1,55,20260421
شيجلام ليب جلوس شفاف,40,1,40,20260421
منقار ستان منقوش,40,1,40,20260421
سورتيت alo الوان,25,1,25,20260421
منقار تيوليب شيفون,40,1,40,20260421
ميدالية نجمة البحر,65,1,65,20260420
نانا دبوس حجاب سيراميك سادة (كارت),35,1,35,20260420
FOR EVER اظافر يد (شريط),35,2,70,20260420
فرشاة  مسكرة,5,1,5,20260420
كحل جرس الماني,25,1,25,20260420
مبرد قدم خشب,30,1,30,20260420
هاندي مناديل جيب 120 منديل,10,1,10,20260420
الصاروخ لاصق اظافر,10,1,10,20260420
برفان قلم 35 مل,40,1,40,20260419
فريدا شاور جل 1200 مل,150,1,150,20260419
ساندرا ليب جلوس شفاف,45,1,45,20260419
انسام بخور جلاكسي 5 ساعات (عود واحد),15,1,15,20260419
يوكو ملح حليب 300 جرام,70,1,70,20260419
اسبلاش ذهبي 250 مل,75,1,75,20260419
فوالا بدي اسبلاش 250 مل,220,1,220,20260419
عطور الشامي رول اون,45,1,45,20260419
ايفونا  جل مخمرية جليتر للجسم 100 جرام,55,1,55,20260419
ار كيو برفان 30 مل,90,1,90,20260419
كريزي ليب بالم,25,1,25,20260419
ميدالية مفتاح فراولة و كريز,25,1,25,20260419
كلوز اب معجون اسنان 50 جرام,35,1,35,20260419
سورتيت اطفال فراشة,30,1,30,20260419
سورتيت اطفال فيونكة,35,1,35,20260419
اكسسوارات حجاب (كارت),40,1,40,20260419
منقار تيوليب شيفون,40,1,40,20260419
منقار تيوليب شيفون,40,2,80,20260419
شيجلام ليب جلوس شفاف,40,1,40,20260419
بوك حريمي محفظة و سوستة مستورد,150,1,150,20260419
اسورة اية الكرسي استانليس,110,1,110,20260419
مغناطيس حجاب (قطعة),30,2,60,20260418
انسيال وردة (فان كليف) استانليس,85,1,85,20260418
سوبر كارمن مشط ابيض ضيق,10,1,10,20260418
كلبس ستان طويل الوان,40,1,40,20260418
اكسسوارات حجاب (كارت),40,1,40,20260418
ميدالية نجمة البحر,65,1,65,20260418
ميدالية نجمة البحر,65,1,65,20260418
خاتم (حرف صغير + اشكال) استانليس,50,1,50,20260418
مجموعة دبوس مشبك,5,1,5,20260418
نواه غسول وجه فوم 200 مل,250,1,250,20260418
ملقاط (كيس),30,1,30,20260418
تاتو سحري,35,1,35,20260418
بليلز ليب بالم فراولة,5,1,5,20260418
قطعة فيك بيرسنج,10,1,10,20260418
قطعة فيك بيرسنج,10,1,10,20260418
خاتم اطفال (علبة قلب),20,1,20,20260418
اظافر اطفال (علبة) 12 قطعة,15,1,15,20260418
ام ان ليب لاينر,25,1,25,20260418
فرشاة  مسكرة,5,1,5,20260418
مراية مكياج,30,1,30,20260418
عطور الشامي رول اون,45,1,45,20260418
لافوالا برفان اماراتي 100 مل,210,1,210,20260418
حلق 3 قطع استانليس على كارت,125,1,125,20260418
فاتيكا حنة,40,1,40,20260418
سجدة توكة ستان,25,1,25,20260418
كليو كليرغسول للبشرة المختلطة و الدهنية 150 مل,175,1,175,20260418
حرير سويت,25,1,25,20260418
توكة وردة تريندي,25,1,25,20260418
توكة وردة تريندي,25,1,25,20260418
ايمامي زيت 50 مل,65,1,65,20260418
ليب بالم تاناكو كوري,25,1,25,20260418
شيجلام ملمع شفايف 8861,45,1,45,20260418
ايفا اسيتون 100 مل,40,1,40,20260418
الصاروخ لاصق اظافر,10,1,10,20260417
ديما مسك طهارة ابيض+رمان,45,1,45,20260417
حرير سويت,25,1,25,20260417
تينكل شفرات وجه 3 قطع,20,1,20,20260417
ساندرا ليب جلوس شفاف,45,1,45,20260417
خمره برفان رول اون,45,1,45,20260417
محفظة حريمي كبسوله كبيره,150,1,150,20260417
اظافر يد,55,1,55,20260417
فلورمار روج خشب,30,1,30,20260417
عطور الشامي رول اون,45,1,45,20260417
ليزا شيجلام اظافر يد (شريط),35,1,35,20260417
ذا بدي شوب سبلاش 100 مل اوريجينال,130,1,130,20260417
محفظة حريمي مستوردة,110,1,110,20260417
مغناطيس حجاب (قطعة),30,1,30,20260417
مغناطيس حجاب (قطعة),30,2,60,20260417
طقم غويشة كارتير فتافيت السكر 6 * 1 استانليس (علبة),210,1,210,20260417
اسورة كارتير استانليس,75,1,75,20260417
استك ليكرا كبير قلوب 3 على كارت,25,1,25,20260416
قفاش صغير 10 قطع (كيس),20,1,20,20260416
كلبس ستان طويل الوان,40,1,40,20260416
كلبس نجوم الوان 6 على كارت,30,1,30,20260416
ار كيو برفان رول اون 10 مل,45,1,45,20260416
سورتيت اطفال وردة,25,1,25,20260416
FOR EVER اظافر يد (شريط),35,1,35,20260416
مايت سينما كونسيلر,95,1,95,20260416
ام ان كحل اسود ووتر برووف (غلاف ذهبي),35,1,35,20260416
ريكسونا رول اون 50 مل,90,1,90,20260416
جليسوليد سوفت كريم 100 مل,55,1,55,20260416
عطور الشامي رول اون,45,1,45,20260416
دبوس حجاب سيراميك 3 على كارت,20,1,20,20260416
سجدة توكة ستان,25,1,25,20260416
شيلز اسبراي تركي  175 مل,100,1,100,20260416
بريتي وومن مناديل ازالة مكياج,5,2,10,20260416
ايفا كريم مرطب 50 جم,30,1,30,20260416
دهب ليفة كف,35,1,35,20260416
بايجن صبغة حواجب,95,1,95,20260416
الصاروخ لاصق اظافر,10,1,10,20260416
فاتيكا زيت شعر 90 مل,25,1,25,20260416
بيو سوفت حمام كريم,95,1,95,20260416
روج جلوس شفايف لاست لوك 2005,45,1,45,20260415
جولي فرشاة شعر بيضاوية,45,1,45,20260415
برفان 60 مل,60,1,60,20260415
حلق 3 قطع استانليس على كارت,75,6,450,20260415
اسورة اشكال استانليس,50,13,650,20260415
اسورة مسمار استانليس,35,3,105,20260415
بونيتا فرشاة شعر مربعة,55,1,55,20260415
زجاجة هير ديلي هير ميست,75,1,75,20260415
شراب حريمي قصير,10.833,24,259.99,20260415
شراب حريمي طويل,13.333,12,160,20260415
بليلز ليب بالم فراولة,5,1,5,20260415
بليلز ليب بالم فراولة,5,2,10,20260415
انسيال وردة (فان كليف) استانليس,43,2,86,20260415
مغناطيس حجاب (قطعة),16.5,24,396,20260415
بوك حريمي 1 سوستة ارنب مستورد,60,3,180,20260415
بوك حريمي 2 سوستة مستورد,60,2,120,20260415
كراتة رجالي,50,1,50,20260415
محفظة رجالي,50,1,50,20260415
اسورة كارتير فصوص استانليس,50,2,100,20260415
كوليه وردة (فان كليف) استانليس,48,2,96,20260415
انسيال فصوص استانليس,50,3,150,20260415
انسيال تيوليب فضي صيني (قطعة),75,2,150,20260415
اسورة كارتير استانليس,40,2,80,20260415
كوليه اشكال استانليس,65,5,325,20260415
اسورة اية الكرسي استانليس,65,4,260,20260415
اسورة مسمار سترس استانليس,80,2,160,20260415
اسورة عريضة استانليس,110,1,110,20260415
اسورة عريضة استانليس,60,4,240,20260415
طقم غويشة كارتير بومبيه 5 * 1 استانليس,108.333,1,108.33,20260415
طقم غويشة كارتير فتافيت السكر 6 * 1 استانليس (علبة),160,1,160,20260415
محفظة حريمي مستوردة,60,5,300,20260415
بوك حريمي 1 سوستة كبير مستورد,65,1,65,20260415
بوك حريمي 2 سوستة بني مصري,38,1,38,20260415
بوك حريمي 2 سوستة جلد مصري,40,2,80,20260415
بوك حريمي محفظة و سوستة,76,1,76,20260415
كراتة حريمي مستوردة,50,4,200,20260415
كوليه فصوص دورين استانليس,70,3,210,20260415
كوليه فصوص استانليس,55,2,110,20260415
بوك حريمي محفظة و سوستة مستورد,100,3,300,20260415
استك ليكرا كبير(بني + بيج) 5 على كارت,10,12,120,20260414
استك ليكرا كبير(بني + بيج) 3 على كارت,10,12,120,20260414
منقار معدن طويل,3.5,12,42,20260414
كلبس نجوم الوان 6 على كارت,10,12,120,20260414
منقار تيوليب شيفون,20.833,12,250,20260414
مولفيكس مقاس (6) نصف عبوة,185,1,185,20260414
كلبس ستان طويل الوان,20,12,240,20260414
اكسسوارات حجاب (كارت),18,12,216,20260414
DAVIS EYE كحل سيلفر,20,3,60,20260414
كير مناديل مبللة 120 قطعة,25,3,75,20260414
نانا دابل فيس حجاب,12,12,144,20260414
سورتيت alo الوان,6,11,66,20260414
فيريس بيوتي دابل فيس اظافر,4.5,12,54,20260414
سوبر كارمن مشط ابيض ضيق,3.166,12,37.99,20260414
استك مجموعات الوان 10 على كارت,7.5,24,180,20260414
قفاش مستطيل صغير 3 على كارت,15.5,12,186,20260414
قفاش صغير 10 قطع (كيس),7.5,12,90,20260414
استك الوان ليكرا كبير 3 على كارت,6.5,12,78,20260414
استيك مجموعات كبير الوان 6 ق,2,12,24,20260414
استك ليكرا كبير قلوب 3 على كارت,11.5,12,138,20260414
منقار ستان (كريز + قلب + فيونكة),19,12,228,20260414
بكر شعر 10 قطعة,14,3,42,20260414
قفاش فيونكة 6 على كارت,25,12,300,20260414
منقار ستان منقوش,20,12,240,20260414
سترس وجه و اظافر (كارت),7.5,6,45,20260414
بليلز ليب بالم فراولة,5,2,10,20260414
علبة دبوس طرحة بيضاوية كبيرة,10,1,10,20260414
مرطب لونا للبشرة 20 جرام,20,1,20,20260414
ام ان ليب لاينر,25,1,25,20260414
مراية مكياج,30,1,30,20260414
كوجي سان صابونة 135 جرام,100,1,100,20260414
ايسنس مسكرة شفافة,50,1,50,20260414
ار كيو برفان 30 مل,90,1,90,20260414
كلبس + نظارة,40,1,40,20260414
خاتم (حرف صغير + اشكال) استانليس,50,1,50,20260414
فلورمار روج خشب,30,1,30,20260414
سجدة توكة ستان,25,2,50,20260414
روج جلوس شفايف لاست لوك 2005,45,1,45,20260414
ليب بالم تاناكو كوري,25,1,25,20260414
شيجلام ملمع شفايف 8861,45,1,45,20260414
بوبانا شيت ماسك كيس,28,10,280,20260414
ربيع الحرمين مكعبات مسك,10,3,30,20260414
كوكو اسبراي 120 مل,110,1,110,20260414
قفاش,10,1,10,20260414
الوفيرا جل صبار 250 مل,25,1,25,20260414
مولبد حفاضات نسائية 16 ق,55,1,55,20260413
الو ايفا شامبو بالارجان 230 مل,75,1,75,20260413
مناديل جيب مبللة,10,1,10,20260413
الو ايفا حمام كريم 250 جم,75,1,75,20260413
افوفا شفرات حريمي (كيس اخضر) 4 + 1,75,1,75,20260413
فلومار اكلادور 16 مل,25,1,25,20260413
العود الملكي مخمرية 40 جرام,35,2,70,20260413
زيت السعد 60 مل,75,1,75,20260413
اسبلاش سيليكتف,180,1,180,20260413
جولي فرشاة شعر بيضاوية,45,1,45,20260413
نونو شامبو اطفال 300 مل,75,1,75,20260413
ار كيو برفان 30 مل,90,2,180,20260413
فرشاة  مسكرة,5,1,5,20260413
مخمرية روائح متنوعة,40,1,40,20260413
ار كيو مسك طهارة,45,1,45,20260413
ار كيو برفان رول اون 10 مل,45,1,45,20260413
مولبد حفاضات نسائية طويل جدا لليشرة الحساسة 14 ق,55,1,55,20260413
تاتو سحري,35,1,35,20260412
FOR EVER اظافر يد (شريط),35,1,35,20260412
كريزي ليب بالم,25,1,25,20260412
بليلز ليب بالم فراولة,5,1,5,20260412
فرشاة  مسكرة,5,1,5,20260412
كاريت ليب استيك,45,1,45,20260412
فريش ليدي محلول عدسات كوري 120 مل + حافظة عدسات,40,1,40,20260412
روز جولد ليب جلوس ماجيك,50,1,50,20260412
استك العاب  + كلبس 8 على كارت,25,1,25,20260412
ميدالية مفتاح شخصيات كرتونية,25,1,25,20260412
مجموعة دبوس مشبك,5,1,5,20260412
توكة منقار كريز على الكارت,25,1,25,20260412
فلورمار قلم حواجب بني,30,1,30,20260412
توكة وردة تريندي منقطة,25,1,25,20260412
انسيال استانليس,110,1,110,20260412
توكة شعر كريز,20,1,20,20260412
افوفا شفرات حريمي (كيس اخضر) 4 + 1,75,1,75,20260412
ساندرا روج استيك 434,45,1,45,20260412
ايفا غسول اشراقة طبيعية انبوبة 100 مل,60,1,60,20260412
عدسات فريش ليدي,110,1,110,20260412
سلسلة mka,35,1,35,20260412
لاصق حبوب,40,1,40,20260412
استيك PETIT SWEET,10,2,20,20260412
توكة وردة تريندي,25,1,25,20260411
سلسلة mka,35,1,35,20260411
شيجلام ليب جلوس انبوبة,40,1,40,20260411
بلاشر ستيك كيس بيوتي 51050,70,1,70,20260411
شاور جل لوزان 2.25 لتر,80,1,80,20260411
سورتيت اطفال سادة الوان,25,1,25,20260411
قطعة دبوس تركي للحجاب,5,1,5,20260411
كوكو كولد واكس,70,1,70,20260411
ام ان مسكرة حواجب,75,1,75,20260411
مبرد أظافر,15,1,15,20260411
كوكو واكس مناديل شمع,45,1,45,20260411
ذا بدي شوب سبلاش 100 مل اوريجينال,130,1,130,20260411
ذا بدي شوب سبلاش 100 مل اوريجينال,130,1,130,20260411
كلبس تيكتاك اشكال ملون,10,4,40,20260411
سلسلة حرف استانليس,75,1,75,20260411
سيبال قلم حواجب جل اوريجنال الماني,250,1,250,20260411
ار كيو برفان 30 مل,90,1,90,20260411
ديزورد مسك طهارة,45,1,45,20260411
فرشاة  مسكرة,5,1,5,20260411
صن سكرين انفنتي جل 60 مل,97.5,2,195,20260411
صن سكرين انفنتي جل 60 مل,150,1,150,20260411
ار كيو مخمرية سيرم 75 مل,100,1,100,20260411
روز بيري مسكرة,90,1,90,20260410
سيتواه لاصقة بثور انف (قطعة),25,1,25,20260410
FOR EVER اظافر يد (شريط),35,1,35,20260410
علبة دبوس طرحة بيضاوية كبيرة,10,1,10,20260410
ام ان كحل اسود ووتر برووف (غلاف ذهبي),35,1,35,20260410
فرشاة  مسكرة,5,1,5,20260410
فرشاة  مسكرة,5,2,10,20260410
هدى مسكرة شفافة بالهيالورنيك اسيد,50,1,50,20260410
ريكسونا رول اون 50 مل,90,1,90,20260410
كير اند مور كريم مرطب لليدين 50 مل,45,1,45,20260410
قطعة مبرد اظافر خشب صغير,5,2,10,20260410
سيبال قلم كحل ماتيك  اوريجنال الماني,220,1,220,20260410
مبرد أظافر,15,1,15,20260410
فوالا بدي اسبلاش 250 مل,220,1,220,20260410
كوين شفرات 5 قطع,30,1,30,20260410
دبلة حريمي استانليس,70,1,70,20260410
فوج اسبراي 120 مل,110,1,110,20260410
الصاروخ لاصق اظافر,10,1,10,20260410
مناديل جيب مبللة,10,1,10,20260410
حلق 3*1,30,1,30,20260410
لاصق حبوب,40,1,40,20260410
الوفيرا جل صبار 250 مل,25,1,25,20260410
فريدا شاور جل 1200 مل,150,1,150,20260410
وايت مناديل مبللة للاطفال 72 منديل,45,1,45,20260409
حرير سويت,25,1,25,20260409
فرشاة حمام زيت,30,1,30,20260409
عدسات فريش ليدي,110,1,110,20260409
مناديل جيب مبللة,10,3,30,20260409
مناديل جيب مبللة,10,1,10,20260409
قطعة دبوس تركي للحجاب,5,2,10,20260409
طقم سلسله + حلق استانليس,60,1,60,20260409
كحل جرس الماني,25,2,50,20260409
كحل جرس الماني,25,1,25,20260409
علبة دبوس طرحة مربعة صغيرة,5,1,5,20260409
كوكو كولد واكس,70,1,70,20260409
مبرد أظافر,15,1,15,20260409
ريفولي شاور جل 2 لتر,185,1,185,20260409
سجدة توكة ستان,25,1,25,20260409
اسورة الاهلي,10,1,10,20260409
كير اند مور اسيتون,55,1,55,20260409
مناديل ازالة مكياج 222 قطعة,110,1,110,20260409
ار كيو برفان 30 مل,90,1,90,20260409
مراية مكياج,30,1,30,20260409
فاين مناديل جيب 120 منديل,10,1,10,20260409
ار كيو مخمرية سيرم 75 مل,100,1,100,20260409
بيو سوفت ليب بالم برطمان,15,1,15,20260409
سوكاني فرشاة فرد شعر كهربائية,250,1,250,20260408
كوين فينجر اظافر يد 24 علي كارت,15,1,15,20260408
ليزا شيجلام اظافر يد (شريط),35,1,35,20260408
FOR EVER اظافر يد (شريط),35,1,35,20260408
تاتو سحري,35,1,35,20260408
تاتو سحري,35,2,70,20260408
ديزورد مسك طهارة,45,1,45,20260408
صانسيلك زيت شعر 75 مل,55,1,55,20260408
فاتيكا حنة,40,1,40,20260408
الصاروخ لاصق اظافر,10,1,10,20260408
ستارفيل غسول جل 200 مل,125,1,125,20260408
كحل بنجور ماتيك,20,1,20,20260408
ليه كاريتييه بلسم 400 مل,120,1,120,20260408
اسبراي تفتيح كوري,200,1,200,20260408
ابرة بثور,15,1,15,20260408
حجر قدم,20,1,20,20260408
كلبس وردة فسفور,35,1,35,20260407
توكة وردة تريندي,25,1,25,20260407
ايفا كريم مرطب 50 جم,30,1,30,20260407
شان ليب بالم,90,1,90,20260407
شيجلام ملمع شفايف 8861,45,1,45,20260407
الصاروخ لاصق اظافر,10,1,10,20260407
بوبانا مرطب زبدة شفايف,60,1,60,20260407
مناديل جيب مبللة,10,1,10,20260407
اليس شفرات وجه 3 ق علبة بيينك,51,6,306,20260407
مروحة يد,35,1,35,20260407
انيزيو شامبو ضد القشرة 250 مل,250,1,250,20260407
ايفا شيت ماسك 3*1,90,1,90,20260407
ايفا كيراتين بلسم ضد القشرة  230 جرام,145,1,145,20260407
فرشاة استشوار تركي,110,1,110,20260407
لانيج ليب ماسك 3 جرام,95,1,95,20260407
كيسيم اسبراي 75 مل,40,1,40,20260407
ايفا كريم مرطب 20 جرام,15,2,30,20260407
بوبانا بديل الزيت 240 مل,145,1,145,20260407
سورتيت اطفال فيونكة,35,1,35,20260407
ملقاط ذهبي,30,1,30,20260407
ميدالية كريز كبيرة,65,1,65,20260407
سنيور كريم لتصفيف الشعر 200 جرام,50,1,50,20260407
روز جولد ليب بالم,45,1,45,20260407
فرشاة  مسكرة,5,1,5,20260407
كيكو اكلادور 18 مل,30,1,30,20260407
FOR EVER اظافر يد (شريط),35,1,35,20260407
نانا دبوس حجاب سيراميك سادة (كارت),35,1,35,20260407
فرشاة بلاشر اشكال,30,1,30,20260407
تاتو سحري,35,1,35,20260407
بريتي جيرل مبرد قدم كهربائي,95,2,190,20260407
بريتي جيرل مبرد قدم كهربائي,150,1,150,20260407
سوكاني فرشاة فرد شعر كهربائية,185,2,370,20260407
كير اند مور فازلين مرطب 100 مل,50,1,50,20260407
فرشاة ظهر خشب,75,2,150,20260406
العود الملكي مخمرية 40 جرام,35,1,35,20260406
دهب ليفة كف,35,1,35,20260406
شان غسول منظف 250 مل,150,1,150,20260406
فوج اسبراي 120 مل,115,1,115,20260406
طقم فوارغ 5*1,55,1,55,20260405
مناديل جيب مبللة,10,1,10,20260405
قصافة دبل على كارت 2*1,40,1,40,20260405
